SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
AB,Electrical,2711P-B7C4A8,,"PANEL VIEW 6.5""",,4/18/2022,,1, OBSOLETE , $-   ,FLOOR
Goulds,,5HP 3PH 380-460V,Maybe?,GEN 4 HYDROVAR,,4/18/2022,,1,, $-   ,FLOOR
ANDERSON,Mechanical,AV-9000,,RECORDER/CONTROLLER,,7/20/2022,,1,"$3,000 ","$3,000 ",FLOOR
,Mechanical,,,Low pressure cleaning equipment,,12/9/2021,,1, Bad Part? , $-   ,Pierce warehouse  Skid #103
,Electrical,5400 BOX PC,,Versa View,,12/9/2021,,1, Bad Part? , $-   ,Pierce warehouse  Skid #103
,Mechanical,"SVP-DEV/PROFI/LF/3XC/SEL/4404 E DN 3.0""",,,,12/9/2021,,1, Bad Part? , $-   ,Pierce warehouse  Skid #103
,Mechanical,Steam Valve,,Steam Valve(no cables),,12/9/2021,,1, Bad Part? , $-   ,Pierce warehouse  Skid #103
Hoffman,Electrical,Enclosure w/panel,,Enclosurew/panel 20x16,,12/9/2021,,1, Bad Part? , $-   ,Pierce warehouse  Skid #103
AB,Electrical,N280446G0S1,,Air Condicioner,,12/9/2021,,1, Bad Part? , $-   ,Pierce warehouse  Skid #103
Ecolab,Mechanical,Boosted Pressure System,,Boosted Pressure System,,12/6/2021,,1,, $-   ,Pierce warehouse Skid # 101
Hoffman,Electrical,CSD243010 SS,,Enclosure ,,12/6/2021,,1,, $-   ,Pierce warehouse Skid # 102
,Electrical,VFD,,VFD,,12/6/2021,,1, Bad Part? , $-   ,Pierce warehouse Skid # 102
Goulds,,VP15,,Hydropro-Water System Tank,,12/6/2021,,6,, $-   ,Pierce warehouse Skid # 102
Burkert,Mechanical,PVC  Mixers,,PVC Mixers,,12/6/2021,,3,, $-   ,Pierce warehouse Skid # 102
Goulds,,VP6,,Hydropro-Water System Tank,,12/6/2021,,1,, $-   ,Pierce warehouse Skid # 102
,Electrical,5400 Box PC,,Versa View,,12/6/2021,,2, Bad Part? , $-   ,Pierce warehouse Skid # 102
Goulds,,10SV6GG4F60  5HP,Maybe?,PUMP,,12/9/2021,,1,, $-   ,Pierce warehouse Skid # 108
Hoffman,Electrical,  WS 483616 SS,,ENCLOSURE SS,,12/9/2021,,1,, $-   ,Pierce warehouse Skid #104
Hoffman,Electrical,A48P36,,BACK PANELS,,12/9/2021,,1,, $-   ,Pierce warehouse Skid #104
GRUNDFOS,Mechanical,N-FG-A-V-HQQV  7.5 HP 3X440-480V 60HZ,,Grundfos pump,,12/9/2021,,1,, $-   ,Pierce warehouse Skid #105
Goulds,,335V 20GJ4F60,,Pump,,12/9/2021,,1,, $-   ,Pierce warehouse Skid #106
,Mechanical,DH0102PHA  10HP,,PUMP,,12/9/2021,,2, Bad Part? , $-   ,Pierce warehouse Skid #107
Hoffman,Electrical,ENCLOSURE,,ENCLOSURE 48X36 SS,,12/9/2021,,2,, $-   ,Pierce warehouse Skid #109
Ecolab,Mechanical,AJ Box,,AJ Box,,12/9/2021,,7,, $-   ,Pierce warehouse Skid #109
Ecolab,Mechanical,AJ Box w/90deg elbow,,AJ Box w/90 deg elbow,,12/9/2021,,3,, $-   ,Pierce warehouse Skid #109
AB,Electrical,1585J-M8CBJM-1,,Ethernet Media,,3/16/2021,,5,25.13,$126 ,R1-1-1
AB,Electrical,1734-OB8,,,,10/18/2023,,8,$606 ,"$4,850 ",R6-4-1
AB,Electrical,1783-US5T SER B,,Ethernet Unmanaged Switch,,3/16/2021,,3,137,$411 ,R1-1-3
FESTO,Electrical,VTUS-25-SB2F8-16BH-N12-G-N14T-8VS+H,,"Manifold assembly ,air bank",,10/18/2023,,2,, $-   ,R7-1-2
AB,Electrical,1585J-M8PBJM-0M2 (Bad Part #),,Ethernet Media,,3/16/2021,,6, Bad Part? , $-   ,R1-1-3
AB,Electrical,1694-PF-1244,,Power Feed,,3/16/2021,,5,18,$90 ,R1-2-1
AB,Electrical,700-HLT1U24,,HL TYPE TERMINAL BLOCK RELAY ,,1/30/2024,,28,26,$728 ,R6-4-1
AB,Electrical,1494U-LA36,,Lug Connectors,,3/16/2021,,12,3.34,$40 ,R1-2-2
AB,Electrical,2080-LC50-24QWB,,,,4/17/2024,,1,$524 ,$524 ,R5-5-1
SMC,Electrical,AR40-N04-Z-B-X48,,Epoxy Coated Regulator,,3/16/2021,,1,, $-   ,R1-2-2
AB,Electrical,1401-N42,,Fuse Clip,,3/16/2021,,1,43.15,$43 ,R1-2-3
AB,Electrical,1494U-NO,,Auxiliary Contact,,3/16/2021,,1,33.48,$33 ,R1-2-3
Camozzi,Mechanical,M008-R00TF,,Regulator,,3/16/2021,,4,, $-   ,R1-2-3
